institution_id,institution_name,city,ownership,school_level,official_domain,official_site_url
4132012678,江苏联合职业技术学院,南京,public,vocational,juti.cn,http://www.juti.cn/
4132012804,南京交通职业技术学院,南京,public,vocational,njitt.edu.cn,https://www.njitt.edu.cn/
4132012920,南京科技职业学院,南京,public,vocational,njpi.edu.cn,https://www.njpi.edu.cn/
4132012047,江苏经贸职业技术学院,南京,public,vocational,jvic.edu.cn,https://www.jvic.edu.cn/
4132013112,南京信息职业技术学院,南京,public,vocational,njcit.cn,https://www.njcit.cn/
4132012679,江苏海事职业技术学院,南京,public,vocational,jmi.edu.cn,https://www.jmi.edu.cn/
4132013106,南京铁道职业技术学院,南京,public,vocational,njrts.edu.cn,https://www.njrts.edu.cn/
4132014000,江苏城市职业学院,南京,public,vocational,jscvc.cn,http://www.jscvc.cn/
4132014180,南京旅游职业学院,南京,public,vocational,nith.edu.cn,https://www.nith.edu.cn/
4132014255,江苏卫生健康职业学院,南京,public,vocational,jshvc.edu.cn,https://www.jshvc.edu.cn/
4132014841,江苏司法警官职业学院,南京,public,vocational,jssfjy.cn,http://www.jssfjy.cn/
4132014056,南京机电职业技术学院,南京,public,vocational,nimt.edu.cn,https://www.nimt.edu.cn/
4132014001,南京城市职业学院,南京,public,vocational,ncc.edu.cn,https://www.ncc.edu.cn/
4132013108,江苏信息职业技术学院,无锡,public,vocational,jsit.edu.cn,https://www.jsit.edu.cn/
4132012702,无锡商业职业技术学院,无锡,public,vocational,wxic.edu.cn,https://www.wxic.edu.cn/
4132013749,无锡工艺职业技术学院,无锡,public,vocational,wxgyxy.edu.cn,https://www.wxgyxy.edu.cn/
4132012681,无锡科技职业学院,无锡,public,vocational,wxstc.cn,https://www.wxstc.cn/
4132013748,无锡城市职业技术学院,无锡,public,vocational,wxcu.edu.cn,https://www.wxcu.edu.cn/
4132014855,无锡师范高等专科学校,无锡,public,junior_college,wxnc.edu.cn,https://www.wxnc.edu.cn/
4132013137,江阴职业技术学院,无锡,public,vocational,jypc.edu.cn,https://www.jypc.edu.cn/
4132013107,徐州工业职业技术学院,徐州,public,vocational,xzcit.edu.cn,https://www.xzcit.edu.cn/
4132014589,江苏安全技术职业学院,徐州,public,vocational,jscst.edu.cn,https://www.jscst.edu.cn/
4132014329,徐州幼儿师范高等专科学校,徐州,public,junior_college,xzyz.edu.cn,https://www.xzyz.edu.cn/
4132014401,徐州生物工程职业技术学院,徐州,public,vocational,xzsw.net.cn,https://www.xzsw.net.cn/
4132012807,常州纺织服装职业技术学院,常州,public,vocational,cztgi.edu.cn,https://www.cztgi.edu.cn/
4132013102,常州工程职业技术学院,常州,public,vocational,czie.edu.cn,https://www.czie.edu.cn/
4132013101,常州工业职业技术学院,常州,public,vocational,ciit.edu.cn,https://www.ciit.edu.cn/
4132013114,常州机电职业技术学院,常州,public,vocational,czimt.edu.cn,https://www.czimt.edu.cn/
4132014543,江苏城乡建设职业学院,常州,public,vocational,jscc.edu.cn,https://www.jscc.edu.cn/
4132014773,常州幼儿师范高等专科学校,常州,public,junior_college,wjtts.net,http://www.wjtts.net/
4132014913,常州铁道职业技术学院,常州,public,vocational,cztdxy.cn,https://www.cztdxy.cn/
4132010960,苏州工艺美术职业技术学院,苏州,public,vocational,sgmart.edu.cn,https://www.sgmart.edu.cn/
4132012808,苏州农业职业技术学院,苏州,public,vocational,szai.edu.cn,https://www.szai.edu.cn/
4132012685,苏州经贸职业技术学院,苏州,public,vocational,szjm.edu.cn,https://www.szjm.edu.cn/
4132012688,苏州卫生职业技术学院,苏州,public,vocational,szhct.edu.cn,https://www.szhct.edu.cn/
4132014295,苏州工业园区服务外包职业学院,苏州,public,vocational,siso.edu.cn,https://www.siso.edu.cn/
4132014256,苏州信息职业技术学院,苏州,public,vocational,szitu.edu.cn,http://www.szitu.edu.cn/
4132012686,苏州工业职业技术学院,苏州,public,vocational,siit.edu.cn,https://www.siit.edu.cn/
3632000583,苏州幼儿师范高等专科学校,苏州,public,junior_college,szys.net,https://www.szys.net/
4132014914,苏州旅游职业学院,苏州,public,vocational,szlyzyxy.cn,https://www.szlyzyxy.cn/
4132011288,沙洲职业工学院,苏州,public,vocational,szit.edu.cn,https://www.szit.edu.cn/
4132013751,苏州健雄职业技术学院,苏州,public,vocational,csit.edu.cn,https://www.csit.edu.cn/
4132012703,江苏航运职业技术学院,南通,public,vocational,jssc.edu.cn,https://www.jssc.edu.cn/
4132010958,江苏工程职业技术学院,南通,public,vocational,jcet.edu.cn,https://www.jcet.edu.cn/
4132014475,江苏商贸职业学院,南通,public,vocational,jsbc.edu.cn,https://www.jsbc.edu.cn/
4132011052,南通职业大学,南通,public,vocational,ntvu.edu.cn,https://www.ntvu.edu.cn/
4132012684,南通科技职业学院,南通,public,vocational,ntst.edu.cn,https://www.ntst.edu.cn/
4132014493,南通师范高等专科学校,南通,public,junior_college,ntnc.edu.cn,https://www.ntnc.edu.cn/
4132014915,南通卫生健康职业学院,南通,public,vocational,nthvc.cn,http://www.nthvc.cn/
4132014542,江苏财会职业学院,连云港,public,vocational,jscfa.edu.cn,https://www.jscfa.edu.cn/
4132011050,连云港职业技术学院,连云港,public,vocational,lygtc.edu.cn,https://www.lygtc.edu.cn/
4132012805,江苏电子信息职业学院,淮安,public,vocational,jsei.edu.cn,https://www.jsei.edu.cn/
4132013104,江苏食品药品职业技术学院,淮安,public,vocational,jsfpc.edu.cn,https://www.jsfpc.edu.cn/
4132013753,江苏财经职业技术学院,淮安,public,vocational,jscj.edu.cn,https://www.jscj.edu.cn/
4132014541,江苏护理职业学院,淮安,public,vocational,jscn.edu.cn,https://www.jscn.edu.cn/
4132013752,盐城工业职业技术学院,盐城,public,vocational,ycpc.edu.cn,https://www.ycpc.edu.cn/
4132012682,江苏医药职业学院,盐城,public,vocational,jsmc.edu.cn,https://www.jsmc.edu.cn/
3632000466,盐城幼儿师范高等专科学校,盐城,public,junior_college,yyz.edu.cn,https://www.yyz.edu.cn/
4132014853,盐城农业科技职业学院,盐城,public,vocational,ycac.edu.cn,http://www.ycac.edu.cn/
4132013754,扬州工业职业技术学院,扬州,public,vocational,ypi.edu.cn,https://www.ypi.edu.cn/
4132014604,江苏旅游职业学院,扬州,public,vocational,jstc.edu.cn,https://www.jstc.edu.cn/
4132012683,扬州环境资源职业技术学院,扬州,public,vocational,yzerc.edu.cn,http://www.yzerc.edu.cn/
4132013103,江苏农林职业技术学院,镇江,public,vocational,jsafc.edu.cn,http://www.jsafc.edu.cn/
4132011051,镇江市高等专科学校,镇江,public,junior_college,zjc.edu.cn,https://www.zjc.edu.cn/
4132014568,江苏航空职业技术学院,镇江,public,vocational,jatc.edu.cn,https://www.jatc.edu.cn/
4132012806,江苏农牧科技职业学院,泰州,public,vocational,jsahvc.edu.cn,https://www.jsahvc.edu.cn/
4132012106,泰州职业技术学院,泰州,public,vocational,tzpc.edu.cn,https://www.tzpc.edu.cn/
4132014854,宿迁幼儿师范高等专科学校,宿迁,public,junior_college,sqsf.cn,https://www.sqsf.cn/
